date,close,high,low,open,volume
,GS,GS,GS,GS,GS
2023-03-29,304.1800231933594,306.06738685431856,302.2452207359287,305.86822495162164,1475900
2023-03-30,304.5783386230469,308.1159583603816,303.38330946580214,307.8219478445104,1456300
2023-03-31,310.2404479980469,310.4491034360571,305.79234474255344,306.78818313902735,2281100
2023-04-03,309.68084716796875,312.0140019951671,306.48464792149986,309.32046866960076,1808800
2023-04-04,306.0104064941406,310.0127753563184,303.6108838859651,309.9653655155142,1536800
2023-04-05,304.9482116699219,305.5836714943804,302.89960265533074,303.1367097781713,1329300
2023-04-06,305.7733459472656,306.560557819349,303.47816516071987,303.8575307761106,1311000
2023-04-10,308.2013244628906,308.2297761608063,304.73956614568726,305.7733497616129,1114400
2023-04-11,310.487060546875,312.2227010620442,306.97789215646,309.2351278709732,1559600
2023-04-12,313.2090148925781,314.9446552356503,310.30682603222647,314.61269947580814,1862400
2023-04-13,315.0015869140625,315.76981174350414,310.13614369843674,313.0572909711139,1765500
2023-04-14,319.5445556640625,322.1147888970375,317.0786356772406,319.1746546413553,2275700
2023-04-17,322.16217041015625,322.8924788439606,316.47159968435574,318.67196064482937,3012100
2023-04-18,316.6897888183594,319.1936252045603,309.31101566571124,311.0845724692167,7549500
2023-04-19,319.5160827636719,319.61090245615844,314.565284967539,315.80772395400953,2625400
2023-04-20,321.24224853515625,321.81131149370714,317.07866196018523,317.67617661947645,2217900
2023-04-21,324.0401611328125,324.70404387299044,318.6720510847424,321.5173372551419,2278900
2023-04-24,326.22149658203125,327.2647738417503,323.9168220062957,324.35309106263486,1966300
2023-04-25,321.9725036621094,325.7567239512999,320.8817877793319,323.4141044999582,2138200
2023-04-26,319.20306396484375,323.03472285282163,317.38209762265296,320.17045052514896,2041900
2023-04-27,323.983154296875,325.65236863554946,321.2896210553605,322.59845690691253,1768200
2023-04-28,325.72833251953125,326.3542988914956,322.1812186888116,322.51314555586146,1712500
2023-05-01,323.0063171386719,329.5409747755498,322.81661985180995,326.30682995762766,1375000
2023-05-02,316.1776123046875,322.36138480300696,312.9814128109201,321.5267630711792,2397600
2023-05-03,311.70098876953125,317.5622693519256,311.32162319718554,315.21965003942495,1825400
2023-05-04,304.69219970703125,310.11721278455195,302.131430754816,309.1403324252801,2965100
