date,close,high,low,open,volume
,MCD,MCD,MCD,MCD,MCD
2023-03-29,264.8789367675781,265.5567834374176,263.93376823245706,264.45885538843584,2053400
2023-03-30,265.21307373046875,265.7954420124161,263.98147028609225,264.70707063098007,1788800
2023-03-31,266.95068359375,267.9340784627732,265.890952668883,266.29195004925646,2902500
2023-04-03,269.36614990234375,270.06308056854544,267.01750521160295,268.2681927441019,2352700
2023-04-04,269.49981689453125,270.5882175617397,267.695401493501,268.6692106673983,2282300
2023-04-05,269.2516174316406,272.0776252850494,269.0224926841387,270.65506478189786,2600800
2023-04-06,270.08221435546875,270.6550261424475,268.82197015231617,269.64301980425216,1731000
2023-04-10,270.931884765625,271.30424153580583,269.22291869716213,270.3590438846762,1941800
2023-04-11,271.6001892089844,272.6121954180567,269.9485044048702,270.3495017404913,2732900
2023-04-12,272.3830871582031,273.8056475147121,270.6645934572791,270.99875310354236,2557400
2023-04-13,275.982421875,276.4311438865796,273.15641429165134,273.59560886359804,3229300
2023-04-14,275.896484375,276.813012361078,274.5980430201484,276.19244684066996,2054700
2023-04-17,276.2115478515625,277.3572297565846,275.1327037037786,276.71755104683535,2371000
2023-04-18,277.7391052246094,278.0064271092023,275.91557663703236,276.29746088132225,2086700
2023-04-19,278.0827941894531,278.39786981665657,277.0517038092883,277.73910710803165,2254000
2023-04-20,277.8250732421875,278.4647520381791,276.75578552581806,277.78687607063,2274200
2023-04-21,278.8370361328125,279.2857581366993,277.3572237454734,279.0852740052309,2171200
2023-04-24,279.9254455566406,280.14501370979167,278.5028851694855,279.57217275184274,2995200
2023-04-25,278.31195068359375,281.6439322878499,276.3261059635615,281.6439322878499,5845200
2023-04-26,276.6412048339844,278.30241748795345,276.6412048339844,276.85124555978877,3290000
2023-04-27,281.3766174316406,281.69166393380334,276.8703132369684,277.5577165594066,3142300
2023-04-28,282.3599548339844,282.77047964383235,280.6032641057967,281.4815949019413,2837200
2023-05-01,284.1070861816406,285.2718519844236,282.2644737069776,282.3313114574737,2124400
2023-05-02,284.5749206542969,284.94724829669207,282.1976353169504,283.9066014226465,2083800
2023-05-03,281.85394287109375,283.80159021713894,281.3097425759506,283.324227671062,2425500
2023-05-04,281.79669189453125,282.8946200409856,280.18320398501373,282.6559387423694,2005300
