date,close,high,low,open,volume
,BA,BA,BA,BA,BA
2025-02-28,174.6300048828125,176.3000030517578,173.47999572753906,174.36000061035156,5803300
2025-03-03,170.05999755859375,178.39999389648438,169.4600067138672,177.02000427246094,6045600
2025-03-04,158.89999389648438,168.3800048828125,156.69000244140625,167.3699951171875,15870200
2025-03-05,163.16000366210938,164.3300018310547,158.80999755859375,159.9600067138672,7355800
2025-03-06,158.42999267578125,162.69000244140625,157.94000244140625,161.4199981689453,6892600
2025-03-07,154.17999267578125,158.36000061035156,149.0500030517578,157.19000244140625,12526700
2025-03-10,148.14999389648438,150.38999938964844,146.3000030517578,150.02999877929688,10204000
2025-03-11,154.05999755859375,155.00999450683594,145.4499969482422,148.0,10030500
2025-03-12,158.8000030517578,159.5399932861328,153.61000061035156,157.0,8706900
2025-03-13,159.32000732421875,161.74000549316406,157.25,159.22000122070312,5701600
2025-03-14,161.80999755859375,162.32000732421875,159.1999969482422,160.9199981689453,5215100
2025-03-17,161.85000610351562,162.77000427246094,159.6199951171875,160.5,5602700
2025-03-18,161.57000732421875,162.22999572753906,158.7899932861328,161.44000244140625,4195200
2025-03-19,172.6199951171875,174.1999969482422,165.0,165.32000732421875,14114800
2025-03-20,172.8300018310547,173.10000610351562,170.30999755859375,171.13999938964844,4934400
2025-03-21,178.11000061035156,183.4600067138672,170.77000427246094,172.05999755859375,26802400
2025-03-24,180.89999389648438,184.39999389648438,180.44000244140625,182.02999877929688,9986100
2025-03-25,182.58999633789062,183.85000610351562,180.36000061035156,182.16000366210938,7174400
2025-03-26,178.5500030517578,183.22999572753906,177.27999877929688,182.52999877929688,6633600
2025-03-27,179.11000061035156,182.22000122070312,178.02999877929688,178.52999877929688,4788600
2025-03-28,173.30999755859375,178.5,172.4499969482422,177.75,7120147
