date,close,high,low,open,volume
,HON,HON,HON,HON,HON
2023-03-29,181.1077880859375,181.72083547233134,179.862531471518,181.67293817635317,2684200
2023-03-30,181.15565490722656,182.42007325258982,180.0636638890498,181.62502498079954,1999400
2023-03-31,183.07142639160156,183.32048645797258,181.35681445932943,182.11353903774648,2702600
2023-04-03,185.1404571533203,185.7343426052754,181.96027890093464,182.54459074167121,2873600
2023-04-04,182.89901733398438,185.09257298696306,181.69206988967,184.98720479128804,2499100
2023-04-05,181.45260620117188,182.96607007243006,181.30892893524947,182.27638996359843,3029800
2023-04-06,182.4392547607422,184.01976324663454,181.05030623023947,181.6250445612201,2782300
2023-04-10,183.60787963867188,184.48914905206934,182.30516659463285,182.70747761403388,2540200
2023-04-11,184.09640502929688,185.02555709411314,183.74199132365484,184.75734975748614,2435600
2023-04-12,185.0925750732422,186.6635097979761,184.23048227433026,185.31289969517428,3656800
2023-04-13,187.65013122558594,188.14823675394405,184.48911457583233,185.1117355241289,3360600
2023-04-14,188.2727813720703,189.4030815482016,187.0275247628289,187.39152667130628,1963900
2023-04-17,189.527587890625,189.7287506612573,188.4547587571214,188.87621690514015,1682700
2023-04-18,188.6367645263672,191.0698067830245,187.95667263631262,190.35139121070637,2400000
2023-04-19,189.47972106933594,190.2939312780675,188.91457096107445,189.90119390132858,1864100
2023-04-20,188.46434020996094,189.43180119266245,187.74592468184164,189.18275573808023,1947100
2023-04-21,187.8225555419922,189.03907658327813,187.17118453593787,188.79001651499212,1970700
2023-04-24,188.49307250976562,189.73832899425585,188.00455522064607,188.9049716727575,1605600
2023-04-25,187.70761108398438,190.5333758364225,187.61181650273522,190.15980035547238,2244300
2023-04-26,182.8607177734375,186.28038316178245,182.17103760463186,185.7152330450733,3579400
2023-04-27,190.2460174560547,190.47591569431924,185.4182713821138,187.68845984719414,3862400
2023-04-28,191.42420959472656,192.35336151817367,190.1310704076393,190.61958770726764,2863100
2023-05-01,192.03726196289062,193.64652039618227,191.53917103828766,191.5774801031795,2224900
