date,close,high,low,open,volume
,WMT,WMT,WMT,WMT,WMT
2024-04-01,59.32835388183594,60.07984470466132,59.2591377707334,59.634885068143674,13837600
2024-04-02,58.49776077270508,59.42723702242989,58.220896309381814,59.22947884691066,19510100
2024-04-03,58.764732360839844,58.833948469043825,58.280215831416974,58.71529282240771,14615100
2024-04-04,58.83395004272461,59.140481224394854,58.62630171255852,58.87350318332627,14436100
2024-04-05,59.18002700805664,59.36790252853607,58.82406008019035,58.883386015503966,10332300
2024-04-08,59.11081314086914,59.36790477694774,58.75484242752647,58.932827784197805,11070100
2024-04-09,59.120704650878906,59.29869001158162,58.636188108522624,59.199807160082834,10015900
2024-04-10,59.94141387939453,60.07984610482576,58.72518304911198,58.95260795831975,15097600
2024-04-11,59.41734313964844,60.20838705809044,59.39756657018802,60.069954843862455,10987600
2024-04-12,59.4667854309082,60.0402946558318,59.278913670327256,59.32835321027012,12278100
2024-04-15,59.25913619995117,60.02051717389222,59.23935962987536,59.83264164416953,10557200
2024-04-16,59.170143127441406,59.615106521202925,59.11081341760819,59.358014883920696,14726300
2024-04-17,58.98227310180664,59.753540492296224,58.903166819707636,59.47667604893999,15329700
2024-04-18,58.59663772583008,59.269026059688,58.557088355364236,59.160260575912844,12061500
2024-04-19,58.86361312866211,59.002045349046774,58.30988424712345,58.78451061929735,14160200
2024-04-22,59.4667854309082,59.72387707380331,58.37910046418463,58.89327997797972,14910000
2024-04-23,58.42854309082031,59.67443691437685,57.90447715014907,59.575557829267474,17963900
2024-04-24,59.199806213378906,59.3679051722411,58.15167440821889,58.31976959508605,18529100
2024-04-25,59.536006927490234,59.85242453814525,59.16026337233456,59.37779812216273,19263000
2024-04-26,59.4865608215332,59.71398571835615,59.328352033656586,59.43712128257083,11045200
2024-04-29,59.56566619873047,59.71398481336977,59.26902142546191,59.506336489677764,9785100
2024-04-30,58.68562698364258,59.62499331626937,58.49775522591524,59.526114237885515,14209200
2024-05-01,58.19122314453125,58.74495578207331,58.0626810990264,58.646076705224196,15464300
2024-05-02,59.04159927368164,59.219584637109534,57.92425132460063,58.28021827946125,17574100
2024-05-03,59.150367736816406,59.308576527530924,58.47797943328094,58.95260580542449,14207400
2024-05-06,59.199806213378906,59.32835203227411,58.72517984976012,59.32835203227411,11119400
2024-05-07,59.94141387939453,60.11939924694761,59.37779480614152,59.49645046051183,14520200
2024-05-08,59.624996185302734,60.16883868657261,59.54589367318842,59.9513039492618,11015700
2024-05-09,59.97029113769531,60.10920631167931,59.48410127643145,59.73215840953996,14550500
2024-05-10,60.009979248046875,60.10920436911448,59.69246643073324,59.94052355582522,12356600
2024-05-13,59.94052505493164,60.87321850598559,59.82145869172403,60.148892136807824,19260500
2024-05-14,59.39480209350586,60.079438435976655,58.978064130876824,60.049672790450145,18780100
2024-05-15,59.36503601074219,59.47417797188608,59.00783312684863,59.36503601074219,22240600
2024-05-16,63.512550354003906,63.919360115036625,62.45086234417054,63.720917436986944,60545600
2024-05-17,64.1475830078125,64.37579135546194,63.1355093421033,63.74076563228405,29330400
2024-05-20,63.68122482299805,64.2567191643118,63.37363262832503,63.91935754108895,15001400
2024-05-21,64.64368438720703,64.68337443322372,63.949119937068474,64.02850002910183,17131700
2024-05-22,64.74291229248047,65.17949527290104,64.2269567820677,64.47501391728794,14879400
2024-05-23,64.33609008789062,65.01080574742895,64.05826732868704,64.66352729842447,16222900
2024-05-24,64.87190246582031,65.17949847628088,64.50478273251744,64.62384531840881,11793800
2024-05-28,64.5345458984375,64.96120447838969,64.23687430494412,64.7131473405129,13349600
2024-05-29,64.41547393798828,64.70322111825669,64.14757556745032,64.2467969057939,11538600
2024-05-30,64.38571166992188,64.66353445989427,64.26664151560374,64.42540172136125,13053500
2024-05-31,65.24894714355469,65.38785852552783,63.661383085216904,64.16741416093227,27632200
2024-06-03,65.30847930908203,65.32832054815843,64.65361243812362,65.00089089773054,11578700
